timestamp,regime,special_event,confidence,allowed_sides,bias,lev_mult,size_mult,rsi_5m,rsi_1h,mfi_5m,bb_width,atr_pct,mom_1h,mom_4h,vol_trend,consec_green,consec_red,exhaustion_score,divergence_type,divergence_strength
2026-02-28T00:01:01.743Z,UPTREND,BREAKOUT,67.5,LONG_ONLY,LONG,1.20,1.00,57.84,35.83,66.37,1.4756,0.1766,0.4240,0.5026,FALLING,0,1,20,NONE,0
2026-02-28T00:05:01.472Z,UPTREND,BREAKOUT,90.0,LONG_ONLY,LONG,1.20,1.00,57.84,35.83,66.37,1.4756,0.1764,0.1975,0.7234,FALLING,0,1,20,NONE,0
2026-02-28T00:09:00.080Z,UPTREND,BREAKOUT,90.0,LONG_ONLY,LONG,1.20,1.00,59.65,35.83,67.14,1.4704,0.1743,0.1626,0.5658,FALLING,1,0,20,NONE,0
2026-02-28T00:12:00.407Z,UPTREND,BREAKOUT,90.0,LONG_ONLY,LONG,1.20,1.00,59.40,35.83,68.42,1.4488,0.1691,0.3306,0.6106,FALLING,0,1,20,NONE,0
2026-02-28T00:15:01.693Z,UPTREND,BREAKOUT,90.0,LONG_ONLY,LONG,1.20,1.00,59.40,35.83,68.42,1.4488,0.1690,0.3927,0.6795,FALLING,0,1,20,NONE,0
2026-02-28T00:18:01.849Z,UPTREND,BREAKOUT,60.0,LONG_ONLY,LONG,1.20,1.00,63.43,35.83,69.96,1.0461,0.1711,0.0822,0.4740,FALLING,1,0,20,NONE,0
2026-02-28T00:22:00.177Z,UPTREND,RETEST,49.5,BOTH,LONG,1.00,1.00,56.04,35.83,60.81,0.7720,0.1745,0.0191,0.4017,FALLING,0,1,20,NONE,0
2026-02-28T00:25:01.845Z,UPTREND,RETEST,49.5,BOTH,LONG,1.00,1.00,56.04,35.83,60.81,0.7720,0.1745,0.0416,0.3926,FALLING,0,1,20,NONE,0
2026-02-28T00:29:00.973Z,UPTREND,RETEST,49.5,BOTH,LONG,1.00,1.00,55.52,35.83,68.35,0.7104,0.1669,-0.1805,0.3070,FLAT,0,2,0,NONE,0
2026-02-28T00:33:00.575Z,UPTREND,BREAKOUT,37.5,BOTH,LONG,1.00,1.00,49.45,35.83,56.15,0.5919,0.1727,-0.0876,0.3762,FLAT,0,3,0,NONE,0
