timestamp,id,symbol,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,net_pnl,duration_ms,close_reason,engine,tags
2026-02-27T04:04:00.987Z,e33df99a,BTCUSDT,SHORT,67091.50,67850.00,0.008943,6,99.88,-6.7833,-7.0331,0.241357,-7.0246,3421834,SL,SWING,SWING|SWING_BREAKOUT
2026-02-27T04:15:39.726Z,88f1efe8,BTCUSDT,LONG,67696.70,67943.50,0.020608,14,99.37,5.0860,4.5557,0.559050,4.5270,400809,TP,SCALP,SCALP
2026-02-27T04:16:34.936Z,9b9e6ff1,BTCUSDT,LONG,67400.00,68100.60,0.014837,8,124.80,10.3947,8.0069,0.402079,9.9926,1355869,TP,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_67342
2026-02-27T04:57:35.064Z,60b834c9,BTCUSDT,LONG,67858.80,67746.00,0.020708,14,100.09,-2.3359,-2.8948,0.561631,-2.8975,214602,SL,SCALP,SCALP
2026-02-27T06:21:06.868Z,1bd24625,BTCUSDT,LONG,67567.80,67570.80,0.008880,6,99.88,0.0266,-0.2136,0.240005,-0.2134,8227940,TRAILING,TREND_FOLLOW,TREND_FOLLOW|EMA21_BOUNCE|BRAIN_57
2026-02-27T06:30:36.696Z,522ed7b9,BTCUSDT,SHORT,67550.10,67663.10,0.014804,8,124.80,-1.6728,-1.6612,0.400335,-2.0732,277689,SL,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_67556
2026-02-27T08:51:32.890Z,9bf691ab,BTCUSDT,LONG,68009.70,67885.60,0.020609,14,99.84,-2.5576,-3.1229,0.560136,-3.1177,213264,SL,SCALP,SCALP
2026-02-27T09:21:27.759Z,fdc61075,BTCUSDT,LONG,68079.60,67984.80,0.020556,14,99.68,-1.9487,-2.5161,0.559384,-2.5081,27427,SL,SCALP,SCALP
2026-02-27T09:21:37.846Z,f1f2233e,BTCUSDT,LONG,67949.90,67938.30,0.018396,10,124.75,-0.2134,-0.5718,0.499957,-0.7133,1658966,TRAILING,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_67804
2026-02-27T09:44:34.146Z,dc6b108d,BTCUSDT,LONG,67950.00,67600.00,0.008830,6,99.88,-3.0905,-3.3339,0.239382,-3.3299,5614646,SL,TREND_FOLLOW,TREND_FOLLOW|EMA21_BOUNCE|BRAIN_57
2026-02-27T09:45:48.681Z,7c03caa8,BTCUSDT,LONG,67384.60,67349.80,0.011872,8,99.84,-0.4132,-0.7342,0.319917,-0.7331,25189063,TRAILING,MOMENTUM,MOMENTUM
2026-02-27T10:11:35.321Z,b85b006a,BTCUSDT,SHORT,67772.80,67002.50,0.014755,8,124.80,11.3659,8.7886,0.397727,10.9682,1654953,TP,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_67804
2026-02-27T10:11:43.049Z,5c97f646,BTCUSDT,SHORT,67220.00,66900.00,0.020743,14,99.32,6.6377,6.1232,0.556407,6.0813,462970,TP,SCALP,SCALP
2026-02-27T11:25:51.899Z,bd845f0f,BTCUSDT,SHORT,66610.20,66615.90,0.021112,14,100.17,-0.1203,-0.6817,0.562532,-0.6829,1973071,TRAILING,SCALP,SCALP
2026-02-27T11:37:38.877Z,233e9704,BTCUSDT,SHORT,67345.00,66142.70,0.014789,10,99.40,17.7806,17.4914,0.394826,17.3858,5798791,TP,MOMENTUM,MOMENTUM
2026-02-27T11:41:39.294Z,f0d049e6,BTCUSDT,SHORT,66270.60,65983.00,0.021213,14,100.13,6.1008,5.5324,0.561097,5.5397,339610,TP,SCALP,SCALP
2026-02-27T12:59:55.946Z,f755fabf,BTCUSDT,SHORT,65884.50,65881.60,0.021581,14,101.28,0.0626,-0.4998,0.568724,-0.5061,1797371,TRAILING,SCALP,SCALP
2026-02-27T13:42:36.941Z,42173f05,BTCUSDT,SHORT,65865.20,65858.70,0.021582,14,101.25,0.1403,-0.4230,0.568566,-0.4283,698208,TRAILING,SCALP,SCALP
