timestamp,type,side,price,conditions_met,ema_cross,rsi_confirm,mfi_confirm,trend_align,volume_confirm,rsi,mfi,atr,bb_width,leverage,stop_loss,take_profit
2026-02-28T11:30:59.655Z,ENTRY_LONG,LONG,64262.90,5,true,true,true,true,true,68.28,68.86,55.7867,0.4790,12,64151.33,64458.15
2026-02-28T13:17:00.441Z,ENTRY_LONG,LONG,64086.70,5,true,true,true,true,true,66.84,87.22,41.7066,0.3394,12,64003.29,64232.67
2026-02-28T16:09:59.774Z,ENTRY_LONG,LONG,64813.80,5,true,true,true,true,true,56.94,51.40,61.3547,0.3258,12,64691.09,65028.54
2026-02-28T16:42:59.498Z,ENTRY_LONG,LONG,65046.00,5,true,true,true,true,true,68.33,61.56,52.7044,0.2538,12,64940.59,65230.47
2026-02-28T18:31:59.871Z,ENTRY_LONG,LONG,65329.10,5,true,true,true,true,true,60.95,53.56,59.9828,0.2744,12,65209.13,65539.04
2026-02-28T22:22:59.849Z,ENTRY_LONG,LONG,67040.10,5,true,true,true,true,true,69.54,76.97,67.5742,0.4136,12,66904.95,67276.61
2026-03-01T01:11:59.205Z,ENTRY_SHORT,SHORT,66213.50,5,true,true,true,true,true,25.91,10.36,84.9276,0.9069,12,66383.36,65916.25
2026-03-01T02:43:00.226Z,ENTRY_LONG,LONG,67979.60,5,true,true,true,true,true,65.07,63.50,93.8431,0.5518,12,67791.91,68308.05
