timestamp,regime,special_event,confidence,allowed_sides,bias,lev_mult,size_mult,rsi_5m,rsi_1h,mfi_5m,bb_width,atr_pct,mom_1h,mom_4h,vol_trend,consec_green,consec_red,exhaustion_score,divergence_type,divergence_strength
2026-03-01T00:00:59.073Z,UPTREND,RETEST,33.0,BOTH,LONG,1.00,1.00,50.79,79.17,24.71,1.1631,0.2648,-0.2445,1.0920,FALLING,0,2,20,NONE,0
2026-03-01T00:04:00.985Z,UPTREND,RETEST,33.0,BOTH,LONG,1.00,1.00,50.79,79.17,24.71,1.1631,0.2646,-0.1185,1.1483,FALLING,0,2,20,NONE,0
2026-03-01T00:07:59.092Z,TRANSITION,RETEST,22.5,BOTH,NEUTRAL,0.70,1.00,53.25,79.17,32.84,1.1632,0.2622,-0.4247,0.8642,FALLING,1,0,0,NONE,0
2026-03-01T00:10:59.644Z,TRANSITION,NONE,15.0,BOTH,NEUTRAL,0.70,1.00,45.57,79.17,40.12,1.2077,0.2688,-0.4675,0.5805,FALLING,0,1,0,NONE,0
2026-03-01T00:14:00.988Z,TRANSITION,NONE,15.0,BOTH,NEUTRAL,0.70,1.00,45.57,79.17,40.12,1.2077,0.2688,-0.1857,0.4118,FALLING,0,1,0,NONE,0
2026-03-01T00:18:00.335Z,TRANSITION,RETEST,27.0,BOTH,NEUTRAL,0.70,1.00,48.91,79.17,42.52,1.1983,0.2588,-0.0109,0.4928,FALLING,1,0,0,NONE,0
2026-03-01T00:21:00.520Z,TRANSITION,NONE,22.5,BOTH,NEUTRAL,0.70,1.00,47.22,79.17,38.39,1.0440,0.2501,-0.2107,-0.0903,FALLING,0,1,0,NONE,0
2026-03-01T00:25:00.023Z,TRANSITION,NONE,22.5,BOTH,NEUTRAL,0.70,1.00,47.22,79.17,38.39,1.0440,0.2499,0.0347,0.0347,FALLING,0,1,0,NONE,0
2026-03-01T00:28:59.673Z,TRANSITION,RETEST,15.0,BOTH,NEUTRAL,0.70,1.00,50.28,79.17,46.69,0.9612,0.2505,-0.1258,0.0276,FALLING,1,0,0,NONE,0
2026-03-01T00:32:00.890Z,CHOP,NONE,12.0,NONE,NEUTRAL,0.50,1.00,44.52,76.54,48.01,0.7464,0.2538,-0.2375,0.1543,FALLING,0,1,0,NONE,0
2026-03-01T00:35:59.539Z,CHOP,NONE,12.0,NONE,NEUTRAL,0.50,1.00,42.93,76.54,41.64,0.6981,0.2488,-0.2647,0.1621,FALLING,0,2,0,NONE,0
2026-03-01T00:39:59.263Z,CHOP,NONE,12.0,NONE,NEUTRAL,0.50,1.00,42.93,76.54,41.64,0.6981,0.2489,-0.0875,-0.0294,FALLING,0,2,0,NONE,0
2026-03-01T00:42:59.314Z,CHOP,NONE,12.0,NONE,NEUTRAL,0.50,1.00,43.55,76.54,45.48,0.7041,0.2413,-0.4210,-0.2074,FLAT,1,0,0,NONE,0
2026-03-01T00:46:00.174Z,TRANSITION,NONE,16.5,BOTH,NEUTRAL,0.70,1.00,40.31,76.54,38.69,0.7431,0.2394,-0.4232,-0.5667,FLAT,0,1,0,NONE,0
2026-03-01T00:50:00.494Z,TRANSITION,NONE,16.5,BOTH,NEUTRAL,0.70,1.00,40.31,76.54,38.69,0.7431,0.2394,-0.4232,-0.4680,FLAT,0,1,0,NONE,0
2026-03-01T00:53:00.835Z,CHOP,NONE,0.0,NONE,NEUTRAL,0.50,1.00,43.24,76.54,49.37,0.6708,0.2376,-0.4154,-0.2398,FLAT,1,0,0,NONE,0
2026-03-01T00:56:00.878Z,CHOP,NONE,10.5,NONE,NEUTRAL,0.50,1.00,49.34,76.54,48.61,0.6600,0.2400,-0.1759,-0.0494,FLAT,2,0,0,NONE,0
2026-03-01T00:59:59.449Z,CHOP,NONE,10.5,NONE,NEUTRAL,0.50,1.00,49.34,76.54,48.61,0.6600,0.2403,-0.3138,0.0505,FLAT,2,0,0,NONE,0
2026-03-01T01:04:00.234Z,DOWNTREND,NONE,30.0,BOTH,SHORT,1.00,1.00,46.79,76.54,45.06,0.6536,0.2344,-0.5455,0.2212,FLAT,0,1,0,NONE,0
2026-03-01T01:07:59.894Z,DOWNTREND,NONE,34.5,BOTH,SHORT,1.00,1.00,40.56,76.54,30.20,0.7118,0.2389,-0.3731,0.2077,FLAT,0,2,0,NONE,0
2026-03-01T01:11:59.202Z,DOWNTREND,BREAKOUT,60.0,SHORT_ONLY,SHORT,1.20,2.00,36.53,76.54,28.58,0.8658,0.2462,-0.9396,-0.5593,RISING,0,3,0,NONE,0
