timestamp,id,symbol,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,net_pnl,duration_ms,close_reason,engine,tags
2026-02-28T09:13:48.242Z,b1e55b00,BTCUSDT,SHORT,63628.00,63577.50,0.011001,7,99.86,0.5556,0.2761,0.279889,0.2757,1486690,TRAILING,SWING,SWING|SWING_HIGH_CONVICTION
2026-02-28T10:32:16.861Z,98d51a30,BTCUSDT,SHORT,63444.60,63994.00,0.012609,8,99.84,-6.9276,-7.2606,0.321386,-7.2490,1577259,SL,TREND_FOLLOW,TREND_FOLLOW|EMA21_BOUNCE|BRAIN_80
2026-02-28T11:28:55.391Z,68225568,BTCUSDT,SHORT,63529.50,64256.50,0.012594,8,99.85,-9.1561,-9.4918,0.321875,-9.4779,4975787,SL,MOMENTUM,MOMENTUM
2026-02-28T11:33:45.750Z,aff3a410,BTCUSDT,LONG,64262.90,64151.10,0.018520,12,98.94,-2.0705,-2.5734,0.475638,-2.5461,166094,SL,SCALP,SCALP
2026-02-28T13:16:38.003Z,7c4fc998,BTCUSDT,SHORT,63918.90,64105.50,0.018774,8,149.76,-3.5032,-2.6602,0.480701,-3.9839,4598558,SL,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_63960
2026-02-28T13:20:10.963Z,9c72daed,BTCUSDT,LONG,64086.70,64000.00,0.018509,12,98.61,-1.6048,-2.1082,0.474164,-2.0789,190521,SL,SCALP,SCALP
2026-02-28T13:49:08.854Z,020cff5f,BTCUSDT,SHORT,63894.60,64578.00,0.009390,6,99.88,-6.4174,-6.6667,0.241283,-6.6587,3547452,SL,SWING,SWING|SWING_BREAKOUT
2026-02-28T13:49:16.853Z,9e693368,BTCUSDT,LONG,64033.40,64732.70,0.018740,8,149.76,13.1050,8.4284,0.482621,12.6224,1936413,TP,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_63960
2026-02-28T13:52:36.122Z,de0cfedc,BTCUSDT,LONG,64024.90,64736.80,0.018743,8,149.76,13.3429,8.5872,0.482669,12.8603,156483,TP,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_64004
2026-02-28T14:56:27.213Z,a1cde788,BTCUSDT,LONG,64033.40,64305.00,0.009370,6,99.88,2.5449,2.3072,0.240509,2.3044,5966774,TRAILING,TREND_FOLLOW,TREND_FOLLOW|EMA21_BOUNCE|BRAIN_60
2026-02-28T14:56:47.196Z,b3384453,BTCUSDT,LONG,64209.00,64250.00,0.012357,8,99.02,0.5066,0.1910,0.317469,0.1892,12406748,TRAILING,MOMENTUM,MOMENTUM
2026-02-28T16:13:20.689Z,86396c72,BTCUSDT,LONG,64813.80,64844.60,0.018480,12,99.57,0.5692,0.0904,0.479216,0.0900,200915,TRAILING,SCALP,SCALP
2026-02-28T16:43:34.239Z,9c32a2e1,BTCUSDT,LONG,65046.00,65075.30,0.018415,12,99.58,0.5396,0.0606,0.479231,0.0603,34740,TRAILING,SCALP,SCALP
2026-02-28T17:46:16.508Z,fed17e54,BTCUSDT,LONG,64778.70,64803.00,0.012327,8,99.65,0.2995,-0.0200,0.319461,-0.0199,6855471,TRAILING,MOMENTUM,MOMENTUM
2026-02-28T18:37:04.725Z,5d4922f3,BTCUSDT,LONG,65329.10,65542.40,0.015307,10,99.80,3.2650,2.8701,0.400653,2.8644,304853,TP,SCALP,SCALP
2026-02-28T19:35:19.202Z,bd226222,BTCUSDT,LONG,65176.00,66388.80,0.012274,8,99.84,14.8865,14.5868,0.322977,14.5635,4098468,TP,MOMENTUM,MOMENTUM
