timestamp,id,symbol,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,net_pnl,duration_ms,close_reason,engine,tags
2026-02-26T02:42:25.127Z,3c216528,BTCUSDT,SHORT,67942.40,68079.00,0.005048,14,24.43,-0.6896,-3.3848,0.137338,-0.8269,84968,SL,SCALP,SCALP
2026-02-26T04:21:43.491Z,9f35fe14,BTCUSDT,LONG,68532.50,68432.70,0.017510,12,99.76,-1.7475,-2.2325,0.479651,-2.2271,523557,SL,SCALP,SCALP
2026-02-26T04:46:43.787Z,2009b914,BTCUSDT,LONG,68761.20,68629.60,0.020338,14,99.61,-2.6764,-3.2480,0.558841,-3.2353,822661,SL,SCALP,SCALP
2026-02-26T05:16:27.094Z,d0104014,BTCUSDT,LONG,68555.70,68119.70,0.011669,8,99.84,-5.0878,-5.4155,0.318982,-5.4068,3626778,TRAILING,MOMENTUM,MOMENTUM
2026-02-26T05:16:47.300Z,e582b1fd,BTCUSDT,SHORT,68301.60,68107.40,0.017521,12,99.49,3.4026,2.9397,0.478008,2.9246,466460,TP,SCALP,SCALP
2026-02-26T06:31:54.034Z,b949c862,BTCUSDT,SHORT,68294.60,68129.90,0.017501,12,99.36,2.8824,2.4203,0.477517,2.4049,593640,TP,SCALP,SCALP
2026-02-26T06:50:55.544Z,cfa60f0e,BTCUSDT,SHORT,68066.80,68159.90,0.017581,12,99.48,-1.6368,-2.1268,0.478998,-2.1158,235967,SL,SCALP,SCALP
2026-02-26T07:51:47.377Z,428f0e22,BTCUSDT,SHORT,68007.50,67860.00,0.017578,12,99.38,2.5927,2.1283,0.477644,2.1150,827342,TP,SCALP,SCALP
2026-02-26T08:01:40.534Z,79c84944,BTCUSDT,SHORT,67805.40,67899.90,0.020590,14,99.44,-1.9458,-2.5186,0.558838,-2.5046,579632,SL,SCALP,SCALP
2026-02-26T08:02:39.439Z,fb446e92,BTCUSDT,LONG,68429.10,67761.90,0.020459,7,199.72,-13.6503,-7.1138,0.557270,-14.2076,13179288,TRAILING,SWING,SWING|SWING_HIGH_CONVICTION
2026-02-26T08:12:02.972Z,3f40ba36,BTCUSDT,SHORT,67831.80,67930.90,0.020410,14,98.61,-2.0226,-2.6131,0.554174,-2.5768,542563,SL,SCALP,SCALP
2026-02-26T08:28:52.651Z,2fe08dda,BTCUSDT,LONG,68064.50,67959.30,0.017411,12,98.52,-1.8317,-2.3400,0.473675,-2.3054,772920,SL,SCALP,SCALP
2026-02-26T09:05:20.365Z,fbff5471,BTCUSDT,SHORT,67923.60,68016.90,0.011618,8,98.49,-1.0840,-1.4214,0.315875,-1.3998,379479,SL,SCALP,SCALP
2026-02-26T09:11:48.432Z,6c6f7eb0,BTCUSDT,SHORT,67972.00,68145.60,0.011770,8,99.84,-2.0432,-2.3674,0.320409,-2.3636,2087557,SL,BREAKOUT_RETEST,BREAKOUT_RETEST|LEVEL_68041
2026-02-26T09:16:51.176Z,f32ce776,BTCUSDT,LONG,68324.30,68204.10,0.008646,6,98.34,-1.0392,-1.2969,0.236084,-1.2753,231469,SL,SCALP,SCALP
2026-02-26T09:43:11.998Z,495adb76,BTCUSDT,SHORT,68058.20,68444.90,0.014653,10,99.52,-5.6662,-6.0952,0.400025,-6.0662,10511996,TRAILING,MOMENTUM,MOMENTUM
2026-02-26T10:10:50.056Z,e0083eaf,BTCUSDT,LONG,68453.70,68649.90,0.017195,12,97.85,3.3736,2.9658,0.471497,2.9021,1429778,TP,SCALP,SCALP
2026-02-26T11:05:15.864Z,e097e38d,BTCUSDT,SHORT,68259.00,68352.90,0.017269,12,98.00,-1.6216,-2.1362,0.471843,-2.0934,668132,SL,SCALP,SCALP
