timestamp,type,side,price,conditions_met,ema_cross,rsi_confirm,mfi_confirm,trend_align,volume_confirm,rsi,mfi,atr,bb_width,leverage,stop_loss,take_profit
2026-02-27T04:08:58.916Z,ENTRY_LONG,LONG,67696.70,5,true,true,true,true,true,64.02,60.37,68.9003,0.7440,12,67558.90,67937.85
2026-02-27T04:54:00.461Z,ENTRY_LONG,LONG,67858.80,5,true,true,true,true,true,59.44,55.28,53.9489,0.2586,12,67750.90,68047.62
2026-02-27T08:47:59.626Z,ENTRY_LONG,LONG,68009.70,5,true,true,true,true,true,66.80,64.39,52.8532,0.4685,12,67903.99,68194.69
2026-02-27T09:21:00.331Z,ENTRY_LONG,LONG,68079.60,5,true,true,true,true,true,69.11,66.00,47.2568,0.2900,12,67985.09,68245.00
2026-02-27T10:04:00.078Z,ENTRY_SHORT,SHORT,67220.00,5,true,true,true,true,true,29.07,36.34,75.5143,0.4345,12,67371.03,66955.70
2026-02-27T10:52:58.827Z,ENTRY_SHORT,SHORT,66610.20,5,true,true,true,true,true,35.83,39.91,78.6009,0.3537,12,66767.40,66335.10
2026-02-27T11:35:59.683Z,ENTRY_SHORT,SHORT,66270.60,5,true,true,true,true,true,29.83,31.35,79.5965,0.4995,12,66429.79,65992.01
2026-02-27T12:29:58.575Z,ENTRY_SHORT,SHORT,65884.50,5,true,true,true,true,true,41.54,35.75,71.4157,0.3432,12,66027.33,65634.54
2026-02-27T13:30:58.733Z,ENTRY_SHORT,SHORT,65865.20,5,true,true,true,true,true,39.90,17.06,74.2172,0.3488,12,66013.63,65605.44
2026-02-27T16:43:00.455Z,ENTRY_SHORT,SHORT,65732.30,5,true,true,true,true,true,30.13,29.08,63.3307,0.4557,12,65858.96,65510.64
2026-02-27T17:20:00.502Z,ENTRY_SHORT,SHORT,65344.20,5,true,true,true,true,true,31.55,32.95,68.9245,0.5209,12,65482.05,65102.96
2026-02-27T19:19:00.720Z,ENTRY_SHORT,SHORT,65200.00,5,true,true,true,true,true,38.33,38.18,55.6173,0.3629,12,65311.23,65005.34
2026-02-27T21:24:00.438Z,ENTRY_LONG,LONG,65699.70,5,true,true,true,true,true,65.91,66.19,34.5245,0.2741,12,65630.65,65820.54
2026-02-27T22:34:01.854Z,ENTRY_SHORT,SHORT,65397.10,5,true,true,true,true,true,39.62,16.65,34.5477,0.3791,12,65466.20,65276.18
2026-02-27T23:20:00.908Z,ENTRY_LONG,LONG,65828.70,5,true,true,true,true,true,65.91,64.18,53.6151,0.4584,12,65721.47,66016.35
2026-02-28T05:43:00.065Z,ENTRY_SHORT,SHORT,65538.90,5,true,true,true,true,true,39.74,34.97,29.3634,0.3345,12,65597.63,65436.13
2026-02-28T06:16:00.118Z,ENTRY_SHORT,SHORT,65361.80,5,true,true,true,true,true,27.66,31.74,34.7341,0.2738,12,65431.27,65240.23
